"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7592","A1: Successful login with valid credentials @smoke","webkit","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","6028","Y4 — Drag slider to specific value via mouse @critical","firefox","2026-07-12","passed","2026-07-12","Horizontal Slider Page @regression","async-content/horizontal-slider.spec.ts","",""
"","5225","V5 — Upload valid file under 500KB @critical","firefox","2026-07-12","passed","2026-07-12","File Upload Page @regression","advanced-ui/file-upload.spec.ts","",""
"","39","P1 — Create note with valid payload @smoke","webkit","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","4844","Y7 — Locate stable element despite changing locators @critical","chromium","2026-07-12","passed","2026-07-12","Challenging DOM Page @regression","async-content/challenging-dom.spec.ts","",""
"","3477","V1 — Drag element A to drop zone B @critical @flaky","firefox","2026-07-12","passed","2026-07-12","Drag and Drop Page @regression","advanced-ui/drag-drop.spec.ts","",""
"","2478","N1 — Trigger and assert 200 OK @critical","firefox","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","1049","Q2 — Authenticated endpoint with valid token @critical","firefox","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","101","P5 — Invalid payload: missing required fields @critical","firefox","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","10064","Y1 — Scroll triggers new content load @critical","webkit","2026-07-12","passed","2026-07-12","Infinite Scroll Page @regression","async-content/infinite-scroll.spec.ts","",""
"","2690","A13: Valid OTP code proceeds authentication @critical","firefox","2026-07-12","skipped","2026-07-12","OTP Authentication Flow","auth/otp.spec.ts","",""
"","475","P3 — Update note (full update) @critical","chromium","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","8421","A5: Logout invalidates session @critical","webkit","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","14987","B7 — Mock specific coordinates (London) and assert display @critical","webkit","2026-07-12","passed","2026-07-12","Geolocation Page @regression","browser-apis/geolocation.spec.ts","",""
"","5224","U3 — Select each radio option @critical","webkit","2026-07-12","passed","2026-07-12","Radio Buttons Page @regression","ui-components/radio-buttons.spec.ts","",""
"","3791","D1 — Extract Chrome CPU value without static locators @critical","webkit","2026-07-12","passed","2026-07-12","Dynamic Table Page @regression","dynamic-dom/dynamic-table.spec.ts","",""
"","20","Q1 — API root returns valid response @smoke","webkit","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","5375","N1 — Trigger and assert 200 OK @critical","webkit","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","1542","U8 — Open new window and validate content @critical","chromium","2026-07-12","passed","2026-07-12","Windows / Tabs Page @regression","ui-components/windows.spec.ts","",""
"","584","Q2 — Authenticated endpoint with valid token @critical","chromium","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","5604","B4 — Interact with element inside internal iFrame @critical","firefox","2026-07-12","passed","2026-07-12","iFrame Page @regression","browser-apis/iframe.spec.ts","",""
"","71","P4 — Delete note and verify 404 @critical","webkit","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","1552","U1 — Select and unselect checkboxes @critical","chromium","2026-07-12","passed","2026-07-12","Checkboxes Page @regression","ui-components/checkboxes.spec.ts","",""
"","131","Q1 — API root returns valid response @smoke","chromium","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","874","F5: Required field missing triggers client-side validation @critical","chromium","2026-07-12","passed","2026-07-12","Form Validation Page","forms/form-validation.spec.ts","",""
"","6318","A6: Valid registration completes successfully @smoke","webkit","2026-07-12","passed","2026-07-12","Registration Page","auth/register.spec.ts","",""
"","334","Q2 — Authenticated endpoint with valid token @critical","webkit","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","4291","N7 — Follow redirect and assert final URL @critical","webkit","2026-07-12","passed","2026-07-12","Redirect Page @regression","network/redirect.spec.ts","",""
"","4069","A2: Invalid username shows specific error @critical","firefox","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
